marca,modelo
HGST,HGST HDS5C4040ALE630
HGST,HGST HDS724040ALE640
HGST,HGST HMS5C4040ALE640
HGST,HGST HMS5C4040BLE640
HGST,HGST HUH728080ALE600
Hitachi,Hitachi HDS5C3030ALA630
Hitachi,Hitachi HDS5C3030BLE630
Hitachi,Hitachi HDS5C4040ALE630
Hitachi,Hitachi HDS722020ALA330
Hitachi,Hitachi HDS723020BLA642
Hitachi,Hitachi HDS723030ALA640
Hitachi,Hitachi HDS723030BLE640
Hitachi,Hitachi HDS724040ALE640
Hitachi,Hitachi HDT725025VLA380
SAMSUNG,SAMSUNG HD154UI
Seagate,ST1000LM024 HN
Seagate,ST2000VN000
Seagate,ST250LM004 HN
Seagate,ST250LT007
Seagate,ST31500341AS
Seagate,ST31500541AS
Seagate,ST3160316AS
Seagate,ST3160318AS
Seagate,ST320LT007
Seagate,ST33000651AS
Seagate,ST3500320AS
Seagate,ST4000DM000
Seagate,ST4000DX000
Seagate,ST4000DX002
Seagate,ST500LM012 HN
Seagate,ST6000DM001
Seagate,ST6000DX000
Seagate,ST8000DM002
Seagate,ST8000NM0055
Seagate,ST9250315AS
Seagate,ST9320325AS
TOSHIBA,TOSHIBA DT01ACA300
TOSHIBA,TOSHIBA MD04ABA400V
TOSHIBA,TOSHIBA MD04ABA500V
TOSHIBA,TOSHIBA MQ01ABF050
WDC,WDC WD1000FYPS
WDC,WDC WD1001FALS
WDC,WDC WD10EACS
WDC,WDC WD10EADS
WDC,WDC WD10EADX
WDC,WDC WD10EALS
WDC,WDC WD10EARS
WDC,WDC WD10EARX
WDC,WDC WD15EARS
WDC,WDC WD1600AAJB
WDC,WDC WD1600AAJS
WDC,WDC WD1600BPVT
WDC,WDC WD20EFRX
WDC,WDC WD2500AAJB
WDC,WDC WD2500AAJS
WDC,WDC WD2500BEVT
WDC,WDC WD2500BPVT
WDC,WDC WD30EFRX
WDC,WDC WD3200AAJB
WDC,WDC WD3200AAJS
WDC,WDC WD3200AAKS
WDC,WDC WD3200BEKT
WDC,WDC WD3200BEKX
WDC,WDC WD3200LPVX
WDC,WDC WD40EFRX
WDC,WDC WD5000BPKT
WDC,WDC WD5000LPCX
WDC,WDC WD5000LPVX
WDC,WDC WD5002ABYS
WDC,WDC WD5003ABYX
WDC,WDC WD60EFRX
WDC,WDC WD800AAJB
WDC,WDC WD800AAJS
WDC,WDC WD800BB
WDC,WDC WD800JB
WDC,WDC WD800JD
WDC,WDC WD800LB
