nome,total,total_falha,ponc_falha,menor,maior,media
HGST HDS5C4040ALE630,77,0,0.0,0,0,0
HGST HDS724040ALE640,40,0,0.0,0,0,0
HGST HMS5C4040ALE640,7085,28,0.395201129146,6,332,218.5
HGST HMS5C4040BLE640,10135,33,0.325604341391,3,332,100.0
HGST HUH728080ALE600,45,0,0.0,0,0,0
Hitachi HDS5C3030ALA630,4563,36,0.788954635108,6,364,172.0
Hitachi HDS5C3030BLE630,1,0,0.0,0,0,0
Hitachi HDS5C4040ALE630,2639,14,0.53050397878,1,325,86.0
Hitachi HDS722020ALA330,4503,43,0.954918942927,2,214,94.0
Hitachi HDS723020BLA642,8,0,0.0,0,0,0
Hitachi HDS723030ALA640,1000,22,2.2,45,353,212.0
Hitachi HDS723030BLE640,9,0,0.0,0,0,0
Hitachi HDS724040ALE640,3,0,0.0,0,0,0
Hitachi HDT725025VLA380,1,0,0.0,0,0,0
SAMSUNG HD154UI,1,0,0.0,0,0,0
ST1000LM024 HN,1,0,0.0,0,0,0
ST2000VN000,6,0,0.0,0,0,0
ST250LM004 HN,35,3,8.57142857143,144,209,151.0
ST250LT007,4,4,100.0,47,151,97.0
ST31500341AS,1,0,0.0,0,0,0
ST31500541AS,262,1,0.381679389313,202,202,202.0
ST3160316AS,53,2,3.77358490566,90,94,92.0
ST3160318AS,47,6,12.7659574468,65,144,103.5
ST320LT007,73,63,86.301369863,17,308,95.0
ST33000651AS,1,0,0.0,0,0,0
ST3500320AS,1,0,0.0,0,0,0
ST4000DM000,35670,931,2.61003644519,1,365,180.0
ST4000DX000,212,27,12.7358490566,60,364,156.0
ST4000DX002,3,0,0.0,0,0,0
ST500LM012 HN,803,8,0.996264009963,32,354,199.0
ST6000DM001,5,0,0.0,0,0,0
ST6000DX000,1905,16,0.839895013123,95,342,249.5
ST8000DM002,8713,46,0.527946746241,3,213,76.5
ST8000NM0055,60,0,0.0,0,0,0
ST9250315AS,56,3,5.35714285714,18,146,29.0
ST9320325AS,24,1,4.16666666667,152,152,152.0
TOSHIBA DT01ACA300,48,2,4.16666666667,67,110,88.5
TOSHIBA MD04ABA400V,146,0,0.0,0,0,0
TOSHIBA MD04ABA500V,46,1,2.17391304348,95,95,95.0
TOSHIBA MQ01ABF050,99,0,0.0,0,0,0
WDC WD1000FYPS,1,0,0.0,0,0,0
WDC WD1001FALS,1,0,0.0,0,0,0
WDC WD10EACS,59,1,1.69491525424,8,8,8.0
WDC WD10EADS,294,6,2.04081632653,2,41,8.0
WDC WD10EADX,14,0,0.0,0,0,0
WDC WD10EALS,1,0,0.0,0,0,0
WDC WD10EARS,3,0,0.0,0,0,0
WDC WD10EARX,2,0,0.0,0,0,0
WDC WD15EARS,1,0,0.0,0,0,0
WDC WD1600AAJB,6,4,66.6666666667,75,103,91.0
WDC WD1600AAJS,100,7,7.0,96,335,155.0
WDC WD1600BPVT,2,1,50.0,26,26,26.0
WDC WD20EFRX,157,5,3.1847133758,2,142,26.0
WDC WD2500AAJB,1,0,0.0,0,0,0
WDC WD2500AAJS,3,0,0.0,0,0,0
WDC WD2500BEVT,1,0,0.0,0,0,0
WDC WD2500BPVT,8,0,0.0,0,0,0
WDC WD30EFRX,1139,36,3.16066725198,2,360,128.5
WDC WD3200AAJB,2,1,50.0,76,76,76.0
WDC WD3200AAJS,3,0,0.0,0,0,0
WDC WD3200AAKS,1,0,0.0,0,0,0
WDC WD3200BEKT,1,1,100.0,99,99,99.0
WDC WD3200BEKX,11,2,18.1818181818,51,111,81.0
WDC WD3200LPVX,1,0,0.0,0,0,0
WDC WD40EFRX,47,1,2.12765957447,150,150,150.0
WDC WD5000BPKT,24,0,0.0,0,0,0
WDC WD5000LPCX,47,1,2.12765957447,75,75,75.0
WDC WD5000LPVX,333,5,1.5015015015,47,185,133.0
WDC WD5002ABYS,5,1,20.0,129,129,129.0
WDC WD5003ABYX,2,0,0.0,0,0,0
WDC WD60EFRX,471,25,5.30785562633,4,358,250.0
WDC WD800AAJB,7,2,28.5714285714,4,151,77.5
WDC WD800AAJS,14,14,100.0,115,131,124.0
WDC WD800BB,5,5,100.0,75,117,76.0
WDC WD800JB,4,4,100.0,73,151,78.0
WDC WD800JD,1,1,100.0,83,83,83.0
WDC WD800LB,1,1,100.0,75,75,75.0
