date,serial_number,model,capacity_bytes,failure
2016-01-11,S301NGZV,ST4000DM000,4000787030016,0
2016-01-11,Z300H2KS,ST4000DM000,4000787030016,0
2016-01-11,Z300X922,ST4000DM000,4000787030016,0
2016-01-11,Z30111FC,ST4000DM000,4000787030016,0
2016-01-11,S30088X7,ST4000DM000,4000787030016,0
2016-01-11,PL2331LAGUM64J,HGST HMS5C4040ALE640,4000787030016,0
2016-01-11,PL1331LAGLX07H,HGST HMS5C4040BLE640,4000787030016,0
2016-01-11,S3010M7H,ST4000DM000,4000787030016,0
2016-01-11,Z3040J5T,ST4000DM000,4000787030016,0
2016-01-11,S301NGZM,ST4000DM000,4000787030016,0
2016-01-11,S301NGZN,ST4000DM000,4000787030016,0
2016-01-11,MJ0351YNGAD7KA,Hitachi HDS5C3030ALA630,3000592982016,0
2016-01-11,JK1130YAG45GST,Hitachi HDS722020ALA330,2000398934016,0
2016-01-11,PL2331LAGU8MMJ,HGST HMS5C4040ALE640,4000787030016,0
2016-01-11,Z300WG7A,ST4000DM000,4000787030016,0
2016-01-11,PL2331LAGSU7HJ,HGST HMS5C4040ALE640,4000787030016,0
2016-01-11,W30061M8,ST4000DM000,4000787030016,0
2016-01-11,Z3042VED,ST4000DM000,4000787030016,0
2016-01-11,PL1331LAGS1J6H,HGST HMS5C4040ALE640,4000787030016,0
2016-01-11,Z300WG7R,ST4000DM000,4000787030016,0
2016-01-11,JK11A8B9J8LJ3F,Hitachi HDS722020ALA330,2000398934016,0
2016-01-11,WD-WMC4N0D3U99S,WDC WD30EFRX,3000592982016,0
2016-01-11,Z304HC0R,ST4000DM000,4000787030016,0
2016-01-11,Z300WG7Z,ST4000DM000,4000787030016,0
2016-01-11,Z302SW95,ST4000DM000,4000787030016,0
2016-01-11,S301M8SX,ST4000DM000,4000787030016,0
2016-01-11,MJ0351YNG9T1JA,Hitachi HDS5C3030ALA630,3000592982016,0
2016-01-11,MJ1311YNG5XUHA,Hitachi HDS5C3030ALA630,3000592982016,0
2016-01-11,Z300X9EY,ST4000DM000,4000787030016,0
2016-01-11,S300Z6KZ,ST4000DM000,4000787030016,0
2016-01-11,MJ1311YNG7BH3A,Hitachi HDS5C3030ALA630,3000592982016,0
2016-01-11,Z302BV7M,ST4000DM000,4000787030016,0
2016-01-11,Z1Z0432J,ST4000DX000,4000787030016,0
2016-01-11,S301NGZ7,ST4000DM000,4000787030016,0
2016-01-11,PL2331LAGMNWSJ,HGST HMS5C4040BLE640,4000787030016,0
2016-01-11,PL2331LAGN4BUJ,HGST HMS5C4040BLE640,4000787030016,0
2016-01-11,S3010M78,ST4000DM000,4000787030016,0
2016-01-11,PL2331LAGN2H9J,HGST HMS5C4040BLE640,4000787030016,0
2016-01-11,Z3029FT4,ST4000DM000,4000787030016,0
2016-01-11,S301NGZ8,ST4000DM000,4000787030016,0
2016-01-11,S300X9NG,ST4000DM000,4000787030016,0
2016-01-11,MJ1311YNG7KRHA,Hitachi HDS5C3030ALA630,3000592982016,0
2016-01-11,Z3041C28,ST4000DM000,4000787030016,0
2016-01-11,PL1331LAGRKM2H,HGST HMS5C4040ALE640,4000787030016,0
2016-01-11,PL2331LAGSSVGJ,HGST HMS5C4040ALE640,4000787030016,0
2016-01-11,PL1331LAGTMN4H,HGST HMS5C4040ALE640,4000787030016,0
2016-01-11,Z300CWTK,ST4000DM000,4000787030016,0
2016-01-11,PL1331LAGM1YLH,HGST HMS5C4040BLE640,4000787030016,0
2016-01-11,Z304HWJW,ST4000DM000,4000787030016,1
2016-01-11,MJ1311YNG305JA,Hitachi HDS5C3030ALA630,3000592982016,1
2016-01-11,Z3015LCH,ST4000DM000,4000787030016,1
2016-01-11,Z4D07B6E,ST6000DX000,6001175126016,1
2016-01-11,JK1101B9GK6XJF,Hitachi HDS722020ALA330,2000398934016,1
2016-01-11,Z4D069T5,ST6000DX000,6001175126016,1
2016-01-11,MJ0351YNG9UYDA,Hitachi HDS5C3030ALA630,3000592982016,1
2016-01-11,Z3025S3L,ST4000DM000,4000787030016,1
2016-01-11,W300JMQL,ST4000DM000,4000787030016,1
2016-01-11,Z300PAB5,ST4000DM000,4000787030016,1
2016-01-11,S300Z8GK,ST4000DM000,4000787030016,1
2016-01-11,Z3015KLM,ST4000DM000,4000787030016,1
2016-01-11,Z304HQRL,ST4000DM000,4000787030016,1
2016-01-11,S300Z6KL,ST4000DM000,4000787030016,1
2016-01-11,PL2331LAGUJMJJ,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,PL1331LAGSMU7H,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,S300YQ23,ST4000DM000,4000787030016,1
2016-01-11,PL1321LAGATWSH,Hitachi HDS5C4040ALE630,4000787030016,1
2016-01-11,PL1331LAGRNP4H,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,Z301CEB2,ST4000DM000,4000787030016,1
2016-01-11,MJ1323YNG1HAJC,Hitachi HDS5C3030ALA630,3000592982016,1
2016-01-11,PL1311LAG3DT5H,Hitachi HDS5C4040ALE630,4000787030016,1
2016-01-11,W300T22A,ST4000DM000,4000787030016,1
2016-01-11,MJ1311YNG7827A,Hitachi HDS5C3030ALA630,3000592982016,1
2016-01-11,PL1331LAGSMY9H,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,JK11A8B9GP4VSF,Hitachi HDS722020ALA330,2000398934016,1
2016-01-11,Z300DPXN,ST4000DM000,4000787030016,1
2016-01-11,JK1171B9HD680T,Hitachi HDS722020ALA330,2000398934016,1
2016-01-11,MK0331YHGS0X1A,Hitachi HDS723030ALA640,3000592982016,1
2016-01-11,PL1331LAGT9J6H,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,PL1331LAGSHNDH,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,Z3029F40,ST4000DM000,4000787030016,1
2016-01-11,PL1311LAG1YTLA,Hitachi HDS5C4040ALE630,4000787030016,1
2016-01-11,Z3015KL6,ST4000DM000,4000787030016,1
2016-01-11,MJ1323YNG1SEWC,Hitachi HDS5C3030ALA630,3000592982016,1
2016-01-11,S301NYES,ST4000DM000,4000787030016,1
2016-01-11,Z304SY3R,ST4000DM000,4000787030016,1
2016-01-11,MJ0351YNGA8YHA,Hitachi HDS5C3030ALA630,3000592982016,1
2016-01-11,W300D802,ST4000DM000,4000787030016,1
2016-01-11,S301NYEV,ST4000DM000,4000787030016,1
2016-01-11,Z300PABB,ST4000DM000,4000787030016,1
2016-01-11,Z4D02X74,ST6000DX000,6001175126016,1
2016-01-11,JK1101B9KM49BF,Hitachi HDS722020ALA330,2000398934016,1
2016-01-11,PL1331LAGS494H,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,PL2331LAGPRW3J,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,Z300KFP1,ST4000DM000,4000787030016,1
2016-01-11,Z300X9EE,ST4000DM000,4000787030016,1
2016-01-11,PL1331LAGRVEVH,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,Z30147XZ,ST4000DM000,4000787030016,1
2016-01-11,WD-WXL1H644SYHA,WDC WD60EFRX,6001175126016,1
2016-01-11,PL1331LAGSJ2RH,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,S300Z7HQ,ST4000DM000,4000787030016,1
2016-01-11,PL1311LAG3DPVH,Hitachi HDS5C4040ALE630,4000787030016,1
2016-01-11,PL1331LAGRGEVH,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,PL2331LAGN1BNJ,HGST HMS5C4040BLE640,4000787030016,1
2016-01-11,Z304HV04,ST4000DM000,4000787030016,1
2016-01-11,WD-WXG1EC3SFRL1,WDC WD5000LPVX,500107862016,1
2016-01-11,PL1311LAG3DDBH,Hitachi HDS5C4040ALE630,4000787030016,1
2016-01-11,PL1311LAG2AY7H,Hitachi HDS5C4040ALE630,4000787030016,1
2016-01-11,JK1171YBK0N9SF,Hitachi HDS722020ALA330,2000398934016,1
2016-01-11,S300Z602,ST4000DM000,4000787030016,1
2016-01-11,S300Z603,ST4000DM000,4000787030016,1
2016-01-11,Z301YY01,ST4000DM000,4000787030016,1
2016-01-11,S300Z606,ST4000DM000,4000787030016,1
2016-01-11,Z302FCJQ,ST4000DM000,4000787030016,1
2016-01-11,S300Z608,ST4000DM000,4000787030016,1
2016-01-11,MJ0351YNG9UPVA,Hitachi HDS5C3030ALA630,3000592982016,1
2016-01-11,Z304LA1G,ST4000DM000,4000787030016,1
2016-01-11,WD-WCC4N0337188,WDC WD30EFRX,3000592982016,1
2016-01-11,Z305AT6T,ST4000DM000,4000787030016,1
2016-01-11,MJ1311YNG335HA,Hitachi HDS5C3030ALA630,3000592982016,1
2016-01-11,Z305DNYD,ST4000DM000,4000787030016,1
2016-01-11,PL2331LAGUMG5J,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,PL1331LAGSZD5H,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,S301GML1,ST4000DM000,4000787030016,1
2016-01-11,JK11A4B8J5Y3AW,Hitachi HDS722020ALA330,2000398934016,1
2016-01-11,Z3015JRG,ST4000DM000,4000787030016,1
2016-01-11,Z305ANVN,ST4000DM000,4000787030016,1
2016-01-11,JK11A8B9J3AU4F,Hitachi HDS722020ALA330,2000398934016,1
2016-01-11,MJ1311YNG2HLEA,Hitachi HDS5C3030ALA630,3000592982016,1
2016-01-11,2EG16MZJ,HGST HUH728080ALE600,8001563222016,1
2016-01-11,S301GMLL,ST4000DM000,4000787030016,1
2016-01-11,Z302BS8M,ST4000DM000,4000787030016,1
2016-01-11,Z3029ZY0,ST4000DM000,4000787030016,1
2016-01-11,Z303ZLN0,ST4000DM000,4000787030016,1
2016-01-11,S300ZQSY,ST4000DM000,4000787030016,1
2016-01-11,Z3016P11,ST4000DM000,4000787030016,1
2016-01-11,S301GMLY,ST4000DM000,4000787030016,1
2016-01-11,MJ0351YNG9WKPA,Hitachi HDS5C3030ALA630,3000592982016,1
2016-01-11,PL1331LAGSP19H,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,JK1171YBK1U2NF,Hitachi HDS722020ALA330,2000398934016,1
2016-01-11,JK11A4B8HTPJMW,Hitachi HDS722020ALA330,2000398934016,1
2016-01-11,Z3029FSV,ST4000DM000,4000787030016,1
2016-01-11,PL1331LAGSRSSH,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,MK0311YHG54HVA,Hitachi HDS723030ALA640,3000592982016,1
2016-01-11,Z3051NNA,ST4000DM000,4000787030016,1
2016-01-11,S300Z60F,ST4000DM000,4000787030016,1
2016-01-11,MK0331YHGK9WBA,Hitachi HDS723030ALA640,3000592982016,1
2016-01-11,S300Z60K,ST4000DM000,4000787030016,1
2016-01-11,S300Z60H,ST4000DM000,4000787030016,1
2016-01-11,S300Z60N,ST4000DM000,4000787030016,1
2016-01-11,PL1331LAGLZRMH,HGST HMS5C4040BLE640,4000787030016,1
2016-01-11,Z300X8BY,ST4000DM000,4000787030016,1
2016-01-11,PL1331LAGSDL8H,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,PL1311LAG3ANBH,Hitachi HDS5C4040ALE630,4000787030016,1
2016-01-11,S300Z60P,ST4000DM000,4000787030016,1
2016-01-11,S300XP27,ST4000DM000,4000787030016,1
2016-01-11,S300Z60V,ST4000DM000,4000787030016,1
2016-01-11,Z3025LZX,ST4000DM000,4000787030016,1
2016-01-11,S300Z60T,ST4000DM000,4000787030016,1
2016-01-11,S300Z60X,ST4000DM000,4000787030016,1
2016-01-11,Z302T6HP,ST4000DM000,4000787030016,1
2016-01-11,PL2331LAGMEVNJ,HGST HMS5C4040BLE640,4000787030016,1
2016-01-11,Z302W65F,ST4000DM000,4000787030016,1
2016-01-11,S3010LFZ,ST4000DM000,4000787030016,1
2016-01-11,PL1331LAGSHWYH,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,Z4D06XY8,ST6000DX000,6001175126016,1
2016-01-11,W300MA9F,ST4000DM000,4000787030016,1
2016-01-11,MJ1311YNG7JJHA,Hitachi HDS5C3030ALA630,3000592982016,1
2016-01-11,PL1331LAGRT97H,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,Z300VK6X,ST4000DM000,4000787030016,1
2016-01-11,Z300E2F8,ST4000DM000,4000787030016,1
2016-01-11,W300K24Q,ST4000DM000,4000787030016,1
2016-01-11,Z30240QK,ST4000DM000,4000787030016,1
2016-01-11,Z305D6LR,ST4000DM000,4000787030016,1
2016-01-11,PL1331LAGSRSHH,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,S301GRV9,ST4000DM000,4000787030016,1
2016-01-11,PL2321LAGARUXJ,Hitachi HDS5C4040ALE630,4000787030016,1
2016-01-11,WD-WMAYUU472236,WDC WD1600AAJS,160041885696,1
2016-01-11,Z300YN68,ST4000DM000,4000787030016,1
2016-01-11,S300K7DE,ST4000DM000,4000787030016,1
2016-01-11,PL1331LAGSMJAH,HGST HMS5C4040ALE640,4000787030016,1
2016-01-11,WD-WXK1H644HE27,WDC WD60EFRX,6001175126016,1
2016-01-11,WD-WX81A74A5KCF,WDC WD5000LPVX,500107862016,1
2016-01-11,PL2331LAGN487J,HGST HMS5C4040BLE640,4000787030016,1
2016-01-11,Z3040QAT,ST4000DM000,4000787030016,1
2016-01-11,W0Q6JFQ8,ST320LT007,320072933376,1
2016-01-11,PL2331LAGMSHTJ,HGST HMS5C4040BLE640,4000787030016,1
2016-01-11,Z30111F5,ST4000DM000,4000787030016,1
